point_id,lon,lat,worldcover_raw_code,worldcover_suggested_label,verified_label,google_maps_check_link,dryseason_blue,dryseason_green,dryseason_red,dryseason_rededge,dryseason_nir,dryseason_swir1,dryseason_swir2,ndvi_s1_land_prep_mar_apr,ndvi_s2_early_growth_may_jun,ndvi_s3_peak_growth_jun_sep,ndvi_s4_maturity_sep_oct,ndvi_s5_postharvest_dec_jan,ndvi_amplitude
18,8.663951391960865,7.8857908923171465,20,vegetation_forest,,"https://www.google.com/maps/@7.8857908923171465,8.663951391960865,17z/data=!3m1!1e3",0.04684999957680702,0.08560000360012054,0.10890000313520432,0.15440000593662262,0.26969999074935913,0.3404499888420105,0.25975000858306885,0.4261315166950226,0.5013123154640198,0.43904760479927063,0.48714539408683777,0.4247226417064667,0.0765896737575531
19,8.72674363032084,7.993319231826263,30,vegetation_forest,,"https://www.google.com/maps/@7.993319231826263,8.72674363032084,17z/data=!3m1!1e3",0.04969999939203262,0.09480000287294388,0.14880000054836273,0.1784999966621399,0.2529999911785126,0.37139999866485596,0.3179999887943268,0.2037670910358429,0.33778679370880127,0.2958325743675232,0.23665660619735718,0.2593329846858978,0.13401970267295837
20,8.76303556779925,7.979395344922409,40,cropland,,"https://www.google.com/maps/@7.979395344922409,8.76303556779925,17z/data=!3m1!1e3",0.07580000162124634,0.121799997985363,0.18520000576972961,0.22280000150203705,0.3019999861717224,0.41999998688697815,0.3391000032424927,0.11408884078264236,0.2253349870443344,0.4278305768966675,0.5249176621437073,0.23973724246025085,0.4108288288116455
21,8.718479129706935,7.807367968013523,40,cropland,,"https://www.google.com/maps/@7.807367968013523,8.718479129706935,17z/data=!3m1!1e3",0.0722000002861023,0.12479999661445618,0.18639999628067017,0.2567000091075897,0.31439998745918274,0.43860000371932983,0.32339999079704285,0.15530455112457275,0.581270158290863,0.7011045813560486,0.558124840259552,0.2555910348892212,0.5458000302314758
22,8.81208358231217,7.947684815392989,40,cropland,,"https://www.google.com/maps/@7.947684815392989,8.81208358231217,17z/data=!3m1!1e3",0.0734499990940094,0.11620000004768372,0.16930000483989716,0.20270000398159027,0.2856999933719635,0.390749990940094,0.32875001430511475,0.15785223245620728,0.398499459028244,0.4543851912021637,0.46453288197517395,0.25582414865493774,0.3066806495189667
23,8.79151216230585,7.868992396504112,40,cropland,,"https://www.google.com/maps/@7.868992396504112,8.79151216230585,17z/data=!3m1!1e3",0.05490000173449516,0.09740000218153,0.1340000033378601,0.18860000371932983,0.28279998898506165,0.3905999958515167,0.3140000104904175,0.1687898188829422,0.20920239388942719,0.378867506980896,0.28898581862449646,0.3570057451725006,0.2100776880979538
24,8.661346277636937,7.760386078654065,40,cropland,,"https://www.google.com/maps/@7.760386078654065,8.661346277636937,17z/data=!3m1!1e3",0.05290000140666962,0.08560000360012054,0.1177000030875206,0.16410000622272491,0.20520000159740448,0.34290000796318054,0.24300000071525574,0.16345179080963135,0.5428458452224731,0.7197047472000122,0.44684189558029175,0.27098172903060913,0.5562529563903809
25,8.7822595148794,7.946337342466805,40,cropland,,"https://www.google.com/maps/@7.946337342466805,8.7822595148794,17z/data=!3m1!1e3",0.07930000126361847,0.11710000038146973,0.15770000219345093,0.1984499990940094,0.28119999170303345,0.4150499999523163,0.3397499918937683,0.16136585175991058,0.4970115125179291,0.5369685888290405,0.3424440622329712,0.28138527274131775,0.37560272216796875
26,8.580408070537743,7.944900038012221,40,cropland,,"https://www.google.com/maps/@7.944900038012221,8.580408070537743,17z/data=!3m1!1e3",0.07320000231266022,0.11819999665021896,0.16220000386238098,0.21660000085830688,0.3296000063419342,0.4138999879360199,0.29409998655319214,0.1356140673160553,0.46654653549194336,0.4094183146953583,0.3709198832511902,0.34038227796554565,0.33093246817588806
27,8.621910236664093,7.783382949927528,40,cropland,,"https://www.google.com/maps/@7.783382949927528,8.621910236664093,17z/data=!3m1!1e3",0.07079999893903732,0.11699999868869781,0.17640000581741333,0.21850000321865082,0.3192000091075897,0.40549999475479126,0.2881999909877777,0.2103559821844101,0.32020482420921326,0.36437657475471497,0.599189281463623,0.2881355881690979,0.38883328437805176
